RegionID,city_state,latitude,longitude
19200,"Marianna, AR",34.77371,-90.757614
10715,"Carlisle, AR",34.783146,-91.74652
18621,"Hope, AR",33.66706,-93.59157
36038,"Rison, AR",33.95851,-92.190155
6853,"Royal, AR",34.51148,-93.24102
12624,"Mayflower, AR",34.95703,-92.427376
31702,"Garfield, AR",36.448406,-93.97409
16889,"Barling, AR",35.330162,-94.305954
5639,"Lincoln, AR",33.935966,-91.771324
30793,"Cave City, AR",35.946976,-91.55114
46120,"Lake Village, AR",33.32948,-91.28506
40481,"Quitman, AR",35.38264,-92.21504
15430,"Fordyce, AR",33.813717,-92.41293
24722,"Flippin, AR",36.276997,-92.59542
